Date,Time,Open,High,Low,Close,Volume ,Filename
2017.08.09,00:00,3438.53,3457.5,3186.0,3354.21,31826,TXT\BTCUSD_D1.csv
2017.08.10,00:00,3353.5,3442.98,3288.5,3413.68,29076,TXT\BTCUSD_D1.csv
2017.08.11,00:00,3418.56,3566.79,3389.52,3563.12,23954,TXT\BTCUSD_D1.csv
2017.08.14,00:00,3991.47,4322.95,3959.98,4251.7,25325,TXT\BTCUSD_D1.csv
2017.08.15,00:00,4252.72,4394.99,3803.16,4065.0,28845,TXT\BTCUSD_D1.csv
2017.08.16,00:00,4065.61,4354.9,3922.92,4335.39,31690,TXT\BTCUSD_D1.csv
2017.08.17,00:00,4337.49,4471.03,4163.76,4316.43,29438,TXT\BTCUSD_D1.csv
2017.08.18,00:00,4316.56,4360.73,3992.89,4002.11,33803,TXT\BTCUSD_D1.csv
2017.08.21,00:00,4063.57,4106.97,3945.02,3990.68,30291,TXT\BTCUSD_D1.csv
2017.08.22,00:00,3990.84,4133.21,3595.5,4065.53,35485,TXT\BTCUSD_D1.csv
2017.08.23,00:00,4065.59,4242.73,4007.1,4112.78,33157,TXT\BTCUSD_D1.csv
2017.08.24,00:00,4112.79,4240.62,4056.63,4221.08,34117,TXT\BTCUSD_D1.csv
2017.08.25,00:00,4221.02,4443.92,4193.61,4317.22,33397,TXT\BTCUSD_D1.csv
2017.08.28,00:00,4342.91,4347.67,4163.5,4327.72,21110,TXT\BTCUSD_D1.csv
2017.08.29,00:00,4327.76,4642.64,4327.76,4585.51,30348,TXT\BTCUSD_D1.csv
2017.08.30,00:00,4589.51,4636.19,4472.03,4563.14,30937,TXT\BTCUSD_D1.csv
2017.08.31,00:00,4563.17,4759.21,4547.48,4730.76,29328,TXT\BTCUSD_D1.csv
2017.09.01,00:00,4730.77,4924.93,4665.1,4865.42,33424,TXT\BTCUSD_D1.csv
2017.09.04,00:00,4519.27,4618.71,4057.01,4263.21,33108,TXT\BTCUSD_D1.csv
2017.09.05,00:00,4251.85,4443.23,3995.94,4413.73,32302,TXT\BTCUSD_D1.csv
2017.09.06,00:00,4410.13,4642.8,4351.71,4546.41,36101,TXT\BTCUSD_D1.csv
2017.09.07,00:00,4546.26,4668.18,4469.38,4561.92,38353,TXT\BTCUSD_D1.csv
2017.09.08,00:00,4561.75,4673.96,4139.24,4225.61,42314,TXT\BTCUSD_D1.csv
2017.09.11,00:00,4253.44,4341.57,4091.01,4177.72,43250,TXT\BTCUSD_D1.csv
2017.09.12,00:00,4177.63,4369.38,4072.51,4168.76,44542,TXT\BTCUSD_D1.csv
2017.09.13,00:00,4167.01,4197.02,3714.8,3886.0,42911,TXT\BTCUSD_D1.csv
2017.09.14,00:00,3882.76,3942.48,3244.15,3380.22,44404,TXT\BTCUSD_D1.csv
2017.09.15,00:00,3386.28,3764.9,2966.0,3711.54,39592,TXT\BTCUSD_D1.csv
2017.09.18,00:00,3686.69,4092.5,3638.81,3999.43,33791,TXT\BTCUSD_D1.csv
2017.09.19,00:00,3998.71,4115.11,3840.86,3891.04,35252,TXT\BTCUSD_D1.csv
2017.09.20,00:00,3904.83,4042.0,3813.07,3949.2,39186,TXT\BTCUSD_D1.csv
2017.09.21,00:00,3947.94,3959.0,3565.68,3642.83,45676,TXT\BTCUSD_D1.csv
